style_id,style_label,original_style_url,enhanced_style_url,primary_color,secondary_color,accent_color,style_category,pattern,finish,length,shape,complexity,season,occasion,target_persona,price_band,trend_keywords,operator_notes,label_status
1,official_style_1,http://p0.meituan.net/pilotimages/8491d190aeb8f44e32f6b278535bf2b41075477.png,http://p0.meituan.net/pilotimages/87797733466cfd525625a5947767e2ff1794125.png,white,nude,none,minimal,solid,glossy,short,squoval,low,all-season,commute,minimalist,mid,"clean, white, office","Conservative daily style with strong mass-market fit.",draft
2,official_style_2,http://p1.meituan.net/pilotimages/493fc5818746fe45d9be82763034edbe1246574.png,http://p0.meituan.net/pilotimages/162afb52255bd908ba3ec418fd61824a2254875.png,green,nude,gold,elegant,solid,glossy,medium,almond,medium,autumn,dating,young-professional,mid,"olive, contrast, elegant","Muted green contrast style; suitable for seasonal recommendation.",draft
3,official_style_3,http://p0.meituan.net/pilotimages/667658abb96c7547791d48360a8e95b61155924.png,http://p1.meituan.net/pilotimages/7bb5bc0c2c741f9f0aa63787a601d7ad2604877.png,black,red,pink,luxury,mixed,glossy,medium,almond,high,all-season,party,fashion-lover,premium,"rose, dark, statement","Visually strong mixed-design style for high-attention campaigns.",draft
4,official_style_4,http://p1.meituan.net/pilotimages/f8539918c55c5c1e4a45ee3996df65f7167977.jpg,http://p0.meituan.net/pilotimages/fc8fe60e78341d77a5070fc2f8e520072098070.png,gray,silver,none,elegant,solid,glossy,medium,almond,medium,all-season,commute,young-professional,mid,"greige, silver, minimalist","Neutral glossy style with light metallic accent.",draft
5,official_style_5,http://p1.meituan.net/pilotimages/1d448b059cddcc2f0705a4a4fe554e06261514.jpg,http://p1.meituan.net/pilotimages/3c0d090e20f0cb56f70fcb56c54dd6582416974.png,nude,white,black,daily,checkerboard,glossy,short,round,medium,all-season,daily,student,mid,"checkerboard, nude, playful","One accent nail makes this suitable for entry-level trend users.",draft
6,official_style_6,http://p0.meituan.net/pilotimages/a99d2de6bf0ade20211c0ae46af8e44b1057335.png,http://p0.meituan.net/pilotimages/6c857edd85a5fa4bcec59698fe9416cb1913981.png,nude,gold,silver,luxury,mixed,glossy,long,almond,high,all-season,wedding,luxury-seeker,premium,"crystal, gold, luxury","Gem-heavy style for premium merchandising or bridal bundles.",draft
7,official_style_7,http://p0.meituan.net/pilotimages/6dedbe1cfe7de834cd8faa4e19179fee1123627.png,http://p0.meituan.net/pilotimages/2ac2d01a9bc78320edbe2b545b485b4a2132292.png,nude,black,silver,cool-girl,mixed,glossy,long,almond,high,all-season,party,fashion-lover,premium,"animal-print, silver, edgy","Black-silver contrast with print detail; suitable for nightlife styling.",draft
8,official_style_8,http://p0.meituan.net/pilotimages/7b22fa4e6e1ee4e59a1115a27b125fe0996286.png,http://p1.meituan.net/pilotimages/d15c06e8c2137d4f39f3b60476a90cf92026957.png,black,silver,none,cool-girl,metallic-detail,glossy,long,stiletto,medium,all-season,party,fashion-lover,premium,"black, chrome, sharp","Strong silhouette and dark palette; good for trend-focused cohorts.",draft
9,official_style_9,http://p0.meituan.net/pilotimages/6b20ca923ac4461aeaab7bf136bfda3c1063942.png,http://p1.meituan.net/pilotimages/69614397f0ecb559b98cb46a5a46f3b32642714.png,black,gold,none,cool-girl,mixed,glossy,long,almond,high,all-season,party,trend-follower,premium,"black, star, glam","High-contrast glam style with obvious social-media appeal.",draft
10,official_style_10,http://p0.meituan.net/pilotimages/a5894d122ca3bd7e1f12401a8c72351e1460094.png,http://p1.meituan.net/pilotimages/2277d6f9d82264fa6a3c986373e5e44c2292083.png,pink,white,none,sweet,gradient,glossy,medium,almond,medium,spring,dating,young-professional,mid,"pink, blush, soft","Soft gradient style for romance and spring campaigns.",draft
