style_id,style_label,original_style_url,enhanced_style_url,primary_color,secondary_color,accent_color,style_category,pattern,finish,length,shape,complexity,season,occasion,target_persona,price_band,trend_keywords,operator_notes,label_status
1,官方款式 1,http://p0.meituan.net/pilotimages/8491d190aeb8f44e32f6b278535bf2b41075477.png,http://p0.meituan.net/pilotimages/87797733466cfd525625a5947767e2ff1794125.png,,,,,,,,,,,,,,,,todo
2,官方款式 2,http://p1.meituan.net/pilotimages/493fc5818746fe45d9be82763034edbe1246574.png,http://p0.meituan.net/pilotimages/162afb52255bd908ba3ec418fd61824a2254875.png,,,,,,,,,,,,,,,,todo
3,官方款式 3,http://p0.meituan.net/pilotimages/667658abb96c7547791d48360a8e95b61155924.png,http://p1.meituan.net/pilotimages/7bb5bc0c2c741f9f0aa63787a601d7ad2604877.png,,,,,,,,,,,,,,,,todo
4,官方款式 4,http://p1.meituan.net/pilotimages/f8539918c55c5c1e4a45ee3996df65f7167977.jpg,http://p0.meituan.net/pilotimages/fc8fe60e78341d77a5070fc2f8e520072098070.png,,,,,,,,,,,,,,,,todo
5,官方款式 5,http://p1.meituan.net/pilotimages/1d448b059cddcc2f0705a4a4fe554e06261514.jpg,http://p1.meituan.net/pilotimages/3c0d090e20f0cb56f70fcb56c54dd6582416974.png,,,,,,,,,,,,,,,,todo
6,官方款式 6,http://p0.meituan.net/pilotimages/a99d2de6bf0ade20211c0ae46af8e44b1057335.png,http://p0.meituan.net/pilotimages/6c857edd85a5fa4bcec59698fe9416cb1913981.png,,,,,,,,,,,,,,,,todo
7,官方款式 7,http://p0.meituan.net/pilotimages/6dedbe1cfe7de834cd8faa4e19179fee1123627.png,http://p0.meituan.net/pilotimages/2ac2d01a9bc78320edbe2b545b485b4a2132292.png,,,,,,,,,,,,,,,,todo
8,官方款式 8,http://p0.meituan.net/pilotimages/7b22fa4e6e1ee4e59a1115a27b125fe0996286.png,http://p1.meituan.net/pilotimages/d15c06e8c2137d4f39f3b60476a90cf92026957.png,,,,,,,,,,,,,,,,todo
9,官方款式 9,http://p0.meituan.net/pilotimages/6b20ca923ac4461aeaab7bf136bfda3c1063942.png,http://p1.meituan.net/pilotimages/69614397f0ecb559b98cb46a5a46f3b32642714.png,,,,,,,,,,,,,,,,todo
10,官方款式 10,http://p0.meituan.net/pilotimages/a5894d122ca3bd7e1f12401a8c72351e1460094.png,http://p1.meituan.net/pilotimages/2277d6f9d82264fa6a3c986373e5e44c2292083.png,,,,,,,,,,,,,,,,todo
11,官方款式 11,http://p0.meituan.net/pilotimages/b6491d47c001ca175fa04e5243f84aa5896438.png,http://p0.meituan.net/pilotimages/bc153edf655dd6961dc9f8e95ad8cd1e2561531.png,,,,,,,,,,,,,,,,todo
12,官方款式 12,http://p1.meituan.net/pilotimages/d571f8a5702261542c115c247d210bfd1180529.png,http://p0.meituan.net/pilotimages/43cc4ced977a3dd271f60ee2f05607772681747.png,,,,,,,,,,,,,,,,todo
13,官方款式 13,http://p0.meituan.net/pilotimages/5fa531643ac8f829d8ab574b4c11e0081087649.png,http://p0.meituan.net/pilotimages/682c173ae3a95d0b838655e8337b30d72213857.png,,,,,,,,,,,,,,,,todo
14,官方款式 14,http://p0.meituan.net/pilotimages/b99490b3f4a5e088ffe36c6ae60211941005960.png,http://p1.meituan.net/pilotimages/eecfba4ab276e895b579a79491b2d0211982788.png,,,,,,,,,,,,,,,,todo
15,官方款式 15,http://p0.meituan.net/pilotimages/5c66d21b6fc2b78c59f3f2e36fc788451052442.png,http://p0.meituan.net/pilotimages/1248ad42d355b98257e5fbcdf90efc552138079.png,,,,,,,,,,,,,,,,todo
16,官方款式 16,http://p0.meituan.net/pilotimages/81a8b3a96d3dd6ba1c849cc666bf85f51089012.png,http://p0.meituan.net/pilotimages/137aad1f6a36655ae395cf7dc57604642782680.png,,,,,,,,,,,,,,,,todo
17,官方款式 17,http://p0.meituan.net/pilotimages/ff68ba22d655fd1e0a812f197e406d951137747.png,http://p0.meituan.net/pilotimages/ec437f6291295904c2f894edb8c01cb82131722.png,,,,,,,,,,,,,,,,todo
18,官方款式 18,http://p1.meituan.net/pilotimages/29c85d420f45062d29890f4ae014b82f960529.png,http://p0.meituan.net/pilotimages/5591229138c4e7e1d183b59be442d9dc2267735.png,,,,,,,,,,,,,,,,todo
19,官方款式 19,http://p0.meituan.net/pilotimages/b6a8da8cb0d46f30ec2c65b79c3710e91040053.png,http://p0.meituan.net/pilotimages/5fad21e6d38656170bf726ff3973a4501918338.png,,,,,,,,,,,,,,,,todo
20,官方款式 20,http://p0.meituan.net/pilotimages/7f3d1832f40e03685a0e413e6196efcd1139460.png,http://p1.meituan.net/pilotimages/d5eedc75b0021f79381962fc145b0bc62301165.png,,,,,,,,,,,,,,,,todo
21,官方款式 21,http://p0.meituan.net/pilotimages/fe1824a01b10a0fee24a8aaa5b1ef1991009918.png,http://p0.meituan.net/pilotimages/f4b69d45af5d3b496adbd9d21e768a8e2195181.png,,,,,,,,,,,,,,,,todo
22,官方款式 22,http://p0.meituan.net/pilotimages/1e86c987caf89d5b15a226ad097e270b963164.png,http://p0.meituan.net/pilotimages/5b985a1c661ae2e964286178e6c0b0f92258113.png,,,,,,,,,,,,,,,,todo
23,官方款式 23,http://p0.meituan.net/pilotimages/ec8057452f9520a0ca5cdba3f78f6f80982638.png,http://p1.meituan.net/pilotimages/bf8657d94693fb0fe1da3f7729d5667d2020119.png,,,,,,,,,,,,,,,,todo
24,官方款式 24,http://p1.meituan.net/pilotimages/1fb5e1b20aea0b0881a4eb5d41bff80b1076304.png,http://p0.meituan.net/pilotimages/e80e1d25e48d7ef5c505b29ee8e331822641412.png,,,,,,,,,,,,,,,,todo
